Schlüsselnummer;Stadt;PLZ;Bundesland;Landkreis
11000;Berlin;10178; Berlin; Berlin
02000;Hamburg;20038; Hamburg; Hamburg
09162;München;80331;Freistaat Bayern; Ingolstadt
05315;Köln;50667;Nordrhein-Westfalen; Bonn
06412;Frankfurt am Main;60311;Hessen; Darmstadt
08111;Stuttgart;70173;Baden-Württemberg; Stuttgart
05111;Düsseldorf;40213;Nordrhein-Westfalen; Düsseldorf
05913;Dortmund;44135;Nordrhein-Westfalen; Bochum
05113;Essen;45127;Nordrhein-Westfalen; Duisburg
04011;Bremen;28195;Freie Hansestadt Bremen; Bremen
03241;Hannover;30159;Niedersachsen;Hannover
14713;Leipzig;04109;Freistaat Sachsen; Leipzig
14612;Dresden;01067;Freistaat Sachsen; Dresden
09564;Nürnberg;90403;Freistaat Bayern; Fürth
05112;Duisburg;47051;Nordrhein-Westfalen; Düsseldorf
05911;Bochum;44787;Nordrhein-Westfalen; Arnsberg
05124;Wuppertal;42275;Nordrhein-Westfalen; Solingen
05711;Bielefeld;33602;Nordrhein-Westfalen; Detmold
05314;Bonn;53111;Nordrhein-Westfalen; Aachen
08222;Mannheim;68159;Baden-Württemberg; Heidelberg
08212;Karlsruhe;76133;Baden-Württemberg; Baden-Baden
06414;Wiesbaden;65183;Hessen; Offenbach am Main
05515;Münster;48143;Nordrhein-Westfalen; Gelsenkirchen
09761;Augsburg;86150;Freistaat Bayern; Schwaben
05513;Gelsenkirchen;45879;Nordrhein-Westfalen; Bottrop
05334;Aachen;52062;Nordrhein-Westfalen; Leverkusen
05116;Mönchengladbach;41061;Nordrhein-Westfalen; Krefeld
03101;Braunschweig;38100;Niedersachsen; Niedersachsen
14511;Chemnitz;09111;Freistaat Sachsen; Chemnitz
01002;Kiel;24103;Schleswig-Holstein; Flensburg
05114;Krefeld;47803;Nordrhein-Westfalen; Essen
15002;Halle-Saale;06108;Sachsen-Anhalt; Dessau-Roßlau
15003;Magdeburg;39104;Sachsen-Anhalt; Halle
08311;Freiburg im Breisgau;79098;Baden-Württemberg; Freiburg
05119;Oberhausen;46045;Nordrhein-Westfalen; Mülheim an der Ruhr
01003;Lübeck;23539;Schleswig-Holstein; Kiel
16051;Erfurt;99084;Freistaat Thüringen; Thüringen
13003;Rostock;18055;Mecklenburg-Vorpommern; Neubrandenburg
07315;Mainz;55116;Rheinland-Pfalz; Ludwigshafen am Rhein
06611;Kassel;34117;Hessen; Kassel
05914;Hagen;58095;Nordrhein-Westfalen; Dortmund
05915;Hamm;59065;Nordrhein-Westfalen; Hagen
10041;Saarbrücken;66111;Saarland; Regionalverband Saarbrücken
05117;Mülheim an der Ruhr;45468;Nordrhein-Westfalen; Mönchengladbach
05916;Herne;44623;Nordrhein-Westfalen; Hamm
03404;Osnabrück;49074;Niedersachsen; Oldenburg
07314;Ludwigshafen am Rhein;67059;Rheinland-Pfalz; Landau in der Pfalz
03403;Oldenburg;26122;Niedersachsen; Emden
05122;Solingen;42651;Nordrhein-Westfalen; Remscheid
05316;Leverkusen;51373;Nordrhein-Westfalen; Köln
12054;Potsdam;14461;Brandenburg; Frankfurt
05162;Neuss;41460;Nordrhein-Westfalen; Rhein-Kreis Neuss
08221;Heidelberg;69117;Baden-Württemberg; Rheinmünster
05774;Paderborn;33098;Nordrhein-Westfalen; Paderborn
06411;Darmstadt;64283;Hessen; Darmstadt
09362;Regensburg;93047;Freistaat Bayern; Amberg
09663;Würzburg;97070;Freistaat Bayern; Schweinfurt
09161;Ingolstadt;85049;Freistaat Bayern; Oberbayern
08121;Heilbronn;74072;Baden-Württemberg; Kernen im Remstal
08421;Ulm;89073;Baden-Württemberg; Albstadt
03152;Göttingen;37083;Niedersachsen; Göttingen
03103;Wolfsburg;38440;Niedersachsen; Salzgitter
08231;Pforzheim;75175;Baden-Württemberg; Hirschberg an der Bergstraße
05562;Recklinghausen;45657;Nordrhein-Westfalen; Recklinghausen
06413;Offenbach am Main;63065;Hessen; Frankfurt am Main
05512;Bottrop;46236;Nordrhein-Westfalen; Münster
09563;Fürth;90762;Freistaat Bayern; Erlangen
04012;Bremerhaven;27576;Freie Hansestadt Bremen; Bremen
08415;Reutlingen;72764;Baden-Württemberg; Reutlingen
05120;Remscheid;42853;Nordrhein-Westfalen; Oberhausen
07111;Koblenz;56068;Rheinland-Pfalz; Rheinland-Pfalz
05170;Moers;47441;Nordrhein-Westfalen; Wesel
05378;Bergisch Gladbach;51465;Nordrhein-Westfalen; Rheinisch-Bergischer Kreis
09562;Erlangen;91052;Freistaat Bayern; Ansbach
07211;Trier;54290;Rheinland-Pfalz; Mähren
16053;Jena;07743;Freistaat Thüringen; Gera
05970;Siegen;57072;Nordrhein-Westfalen; Siegen-Wittgenstein
03102;Salzgitter;38226;Niedersachsen; Braunschweig
03254;Hildesheim;31134;Niedersachsen; Hildesheim
12052;Cottbus;03046;Brandenburg; Brandenburg an der Havel
16052;Gera;07545;Freistaat Thüringen; Erfurt
07312;Kaiserslautern;67657;Rheinland-Pfalz; Frankenthal
05954;Witten;58452;Nordrhein-Westfalen; Ennepe-Ruhr-Kreis
05754;Gütersloh;33330;Nordrhein-Westfalen; Gütersloh
05962;Iserlohn;58636;Nordrhein-Westfalen; Märkischer Kreis
13004;Schwerin;19053;Mecklenburg-Vorpommern; Rostock
14524;Zwickau;08056;Freistaat Sachsen; Zwickau
05358;Düren;52349;Nordrhein-Westfalen; Düren
08116;Esslingen am Neckar;73728;Baden-Württemberg; Esslingen
05158;Ratingen;40878;Nordrhein-Westfalen; Mettmann
01001;Flensburg;24937;Schleswig-Holstein; Schleswig-Holstein
06435;Hanau;63450;Hessen; Main-Kinzig-Kreis
05562;Marl;45768;Nordrhein-Westfalen; Recklinghausen
08416;Tübingen;72070;Baden-Württemberg; Tübingen
05978;Lünen;44532;Nordrhein-Westfalen; Unna
15001;Dessau-Roßlau;06844;Sachsen-Anhalt; Sachsen-Anhalt
08118;Ludwigsburg;71638;Baden-Württemberg; Ludwigsburg
05158;Velbert;42551;Nordrhein-Westfalen; Mettmann
08335;Konstanz;78462;Baden-Württemberg; Konstanz
05770;Minden;32423;Nordrhein-Westfalen; Minden-Lübbecke
07319;Worms;67547;Rheinland-Pfalz; Speyer
03405;Wilhelmshaven;26382;Niedersachsen; Osnabrück
08326;Villingen-Schwenningen;78050;Baden-Württemberg; Schwarzwald-Baar-Kreis
06534;Marburg;35037;Hessen; Marburg-Biedenkopf
05562;Dorsten;46284;Nordrhein-Westfalen; Recklinghausen
01004;Neumünster;24534;Schleswig-Holstein; Lübeck
05566;Rheine;48431;Nordrhein-Westfalen; Steinfurt
06531;Gießen;35390;Hessen; Gießen
05962;Lüdenscheid;58507;Nordrhein-Westfalen; Märkischer Kreis
05562;Castrop-Rauxel;44575;Nordrhein-Westfalen; Recklinghausen
05562;Gladbeck;45964;Nordrhein-Westfalen; Recklinghausen
05166;Viersen;41747;Nordrhein-Westfalen; Viersen
05382;Troisdorf;53840;Nordrhein-Westfalen; Rhein-Sieg-Kreis
05958;Arnsberg;59759;Nordrhein-Westfalen; Hochsauerlandkreis
03401;Delmenhorst;27749;Niedersachsen; Thedinghausen
05554;Bocholt;46395;Nordrhein-Westfalen; Borken
05766;Detmold;32756;Nordrhein-Westfalen; Lippe
03355;Lüneburg;21335;Niedersachsen; Lüneburg
09462;Bayreuth;95444;Freistaat Bayern; Bamberg
12051;Brandenburg an der Havel;14770;Brandenburg; Brandenburg
01060;Norderstedt;22846;Schleswig-Holstein; Segeberg
03351;Celle;29221;Niedersachsen; Celle
09461;Bamberg;96047;Freistaat Bayern; Oberfranken
05170;Dinslaken;46535;Nordrhein-Westfalen; Wesel
09661;Aschaffenburg;63739;Freistaat Bayern; Unterfranken
05974;Lippstadt;59555;Nordrhein-Westfalen; Soest
05978;Unna;59423;Nordrhein-Westfalen; Unna
14523;Plauen;08523;Freistaat Sachsen; Vogtlandkreis
08136;Aalen;73430;Baden-Württemberg; Ostalbkreis
16055;Weimar;99423;Freistaat Thüringen; Suhl
13002;Neubrandenburg;17033;Mecklenburg-Vorpommern; Greifswald
05362;Kerpen;50171;Nordrhein-Westfalen; Rhein-Erft-Kreis
07138;Neuwied;56564;Rheinland-Pfalz; Neuwied
05758;Herford;32052;Nordrhein-Westfalen; Herford
06631;Fulda;36037;Hessen; Fulda
05162;Grevenbroich;41515;Nordrhein-Westfalen; Rhein-Kreis Neuss
05162;Dormagen;41539;Nordrhein-Westfalen; Rhein-Kreis Neuss
09261;Landshut;84028;Freistaat Bayern; Niederbayern
05562;Herten;45699;Nordrhein-Westfalen; Recklinghausen
05362;Bergheim;50126;Nordrhein-Westfalen; Rhein-Erft-Kreis
09763;Kempten;87435;Freistaat Bayern; Kaufbeuren
03241;Garbsen;30827;Niedersachsen;Hannover
05170;Wesel;46483;Nordrhein-Westfalen; Wesel
09163;Rosenheim;83022;Freistaat Bayern; München
12053;Frankfurt;15230;Brandenburg; Cottbus
08115;Sindelfingen;71063;Baden-Württemberg; Böblingen
08136;Schwäbisch Gmünd;73525;Baden-Württemberg; Ostalbkreis
06433;Rüsselsheim;65428;Hessen; Groß-Gerau
08317;Offenburg;77652;Baden-Württemberg; Ortenaukreis
05158;Langenfeld;40764;Nordrhein-Westfalen; Mettmann
08435;Friedrichshafen;88045;Baden-Württemberg; Bodenseekreis
03252;Hameln;31785;Niedersachsen; Hameln-Pyrmont
13005;Stralsund;18439;Mecklenburg-Vorpommern; Schwerin
05334;Stolberg;52222;Nordrhein-Westfalen; Leverkusen
05362;Hürth;50354;Nordrhein-Westfalen; Rhein-Erft-Kreis
08117;Göppingen;73033;Baden-Württemberg; Göppingen
05962;Menden;58706;Nordrhein-Westfalen; Märkischer Kreis
14626;Görlitz;02826;Freistaat Sachsen; Görlitz
05366;Euskirchen;53879;Nordrhein-Westfalen; Euskirchen
05954;Hattingen;45525;Nordrhein-Westfalen; Ennepe-Ruhr-Kreis
05158;Hilden;40721;Nordrhein-Westfalen; Mettmann
05382;Sankt Augustin;53757;Nordrhein-Westfalen; Rhein-Sieg-Kreis
05334;Eschweiler;52249;Nordrhein-Westfalen; Leverkusen
08211;Baden-Baden;76530;Baden-Württemberg; Karlsruhe
13001;Greifswald;17489;Mecklenburg-Vorpommern; Mecklenburg-Vorpommern
05162;Meerbusch;40667;Nordrhein-Westfalen; Rhein-Kreis Neuss
05766;Bad Salzuflen;32105;Nordrhein-Westfalen; Lippe
05362;Pulheim;50259;Nordrhein-Westfalen; Rhein-Erft-Kreis
09662;Schweinfurt;97421;Freistaat Bayern; Aschaffenburg
07316;Neustadt an der Weinstraße;67433;Rheinland-Pfalz; Mainz
05570;Ahlen;59227;Nordrhein-Westfalen; Warendorf
03158;Wolfenbüttel;38300;Niedersachsen; Wolfenbüttel
03456;Nordhorn;48529;Niedersachsen; Grafschaft Bentheim
09775;Neu-Ulm;89231;Freistaat Bayern; Neu-Ulm
08119;Waiblingen;71332;Baden-Württemberg; Rems-Murr-Kreis
03241;Langenhagen;30853;Niedersachsen;Hannover
05166;Willich;47877;Nordrhein-Westfalen; Viersen
06434;Bad Homburg;61348;Hessen; Hochtaunuskreis
05374;Gummersbach;51643;Nordrhein-Westfalen; Oberbergischer Kreis
06532;Wetzlar;35578;Hessen; Lahn-Dill-Kreis
05566;Ibbenbüren;49477;Nordrhein-Westfalen; Steinfurt
03454;Lingen;49808;Niedersachsen; Emsland
03402;Emden;26721;Niedersachsen; Delmenhorst
05978;Bergkamen;59192;Nordrhein-Westfalen; Unna
03352;Cuxhaven;27472;Niedersachsen; Cuxhaven
05362;Erftstadt;50374;Nordrhein-Westfalen; Rhein-Erft-Kreis
09262;Passau;94032;Freistaat Bayern; Landshut
07318;Speyer;67346;Rheinland-Pfalz; Pirmasens
05362;Frechen;50226;Nordrhein-Westfalen; Rhein-Erft-Kreis
08436;Ravensburg;88212;Baden-Württemberg; Ravensburg
05154;Kleve;47533;Nordrhein-Westfalen; Kleve
03157;Peine;31224;Niedersachsen; Peine
05974;Soest;59494;Nordrhein-Westfalen; Soest
05382;Bornheim;53332;Nordrhein-Westfalen; Rhein-Sieg-Kreis
05978;Schwerte;58239;Nordrhein-Westfalen; Unna
05770;Bad Oeynhausen;32545;Nordrhein-Westfalen; Minden-Lübbecke
08135;Heidenheim an der Brenz;89522;Baden-Württemberg; Heidenheim
01056;Elmshorn;25335;Schleswig-Holstein; Pinneberg
08336;Lörrach;79539;Baden-Württemberg; Lörrach
10043;Neunkirchen;66538;Saarland; Neunkirchen
08216;Rastatt;76437;Baden-Württemberg; Rastatt
15091;Wittenberg;06886;Sachsen-Anhalt; Wittenberg
05334;Herzogenrath;52134;Nordrhein-Westfalen; Leverkusen
05754;Rheda-Wiedenbrück;33378;Nordrhein-Westfalen; Gütersloh
07311;Frankenthal;67227;Rheinland-Pfalz; Welschbillig
05558;Dülmen;48249;Nordrhein-Westfalen; Coesfeld
09464;Hof;95028;Freistaat Bayern; Coburg
05554;Gronau;48599;Nordrhein-Westfalen; Borken
03459;Melle;49324;Niedersachsen; Osnabrück
08115;Böblingen;71032;Baden-Württemberg; Böblingen
05158;Erkrath;40699;Nordrhein-Westfalen; Mettmann
03359;Stade;21682;Niedersachsen; Stade
15082;Bitterfeld-Wolfen;06766;Sachsen-Anhalt; Anhalt-Bitterfeld
05382;Hennef;53773;Nordrhein-Westfalen; Rhein-Sieg-Kreis
16067;Gotha;99867;Freistaat Thüringen; Gotha
05334;Alsdorf;52477;Nordrhein-Westfalen; Leverkusen
08335;Singen;78224;Baden-Württemberg; Konstanz
08417;Albstadt;72458;Baden-Württemberg; Zollernalbkreis
03241;Neustadt am Rübenberge;31535;Niedersachsen;Hannover
08115;Leonberg;71229;Baden-Württemberg; Böblingen
09178;Freising;85354;Freistaat Bayern; Freising
05978;Kamen;59174;Nordrhein-Westfalen; Unna
05758;Bünde;32257;Nordrhein-Westfalen; Herford
05370;Erkelenz;41812;Nordrhein-Westfalen; Heinsberg
09263;Straubing;94315;Freistaat Bayern; Passau
13006;Wismar;23952;Mecklenburg-Vorpommern; Stralsund
08119;Fellbach;70734;Baden-Württemberg; Rems-Murr-Kreis
05362;Brühl;50321;Nordrhein-Westfalen; Rhein-Erft-Kreis
16062;Nordhausen;99734;Freistaat Thüringen; Nordhausen
08116;Filderstadt;70794;Baden-Württemberg; Esslingen
08317;Lahr/Schwarzwald;77933;Baden-Württemberg; Ortenaukreis
09361;Amberg;92224;Freistaat Bayern; Oberpfalz
08226;Weinheim;69469;Baden-Württemberg; Rhein-Neckar-Kreis
10045;Homburg;66424;Saarland; Saarpfalz-Kreis
07133;Bad Kreuznach;55545;Rheinland-Pfalz; Bad Kreuznach
06434;Oberursel;61440;Hessen; Hochtaunuskreis
03241;Lehrte;31275;Niedersachsen;Hannover
08215;Bruchsal;76646;Baden-Württemberg; Karlsruhe
06438;Rodgau;63110;Hessen; Offenbach
05158;Monheim am Rhein;40789;Nordrhein-Westfalen; Mettmann
07313;Landau in der Pfalz;76829;Rheinland-Pfalz; Kaiserslautern
16056;Eisenach;99817;Freistaat Thüringen; Weimar
08118;Bietigheim-Bissingen;74321;Baden-Württemberg; Ludwigsburg
08416;Rottenburg am Neckar;72108;Baden-Württemberg; Tübingen
01056;Pinneberg;25421;Schleswig-Holstein; Pinneberg
09174;Dachau;85221;Freistaat Bayern; Dachau
09363;Weiden;92637;Freistaat Bayern; Regensburg
05166;Nettetal;41334;Nordrhein-Westfalen; Viersen
09762;Kaufbeuren;87600;Freistaat Bayern; Augsburg
05162;Kaarst;41564;Nordrhein-Westfalen; Rhein-Kreis Neuss
14522;Freiberg;09599;Freistaat Sachsen; Mittelsachsen
05766;Lemgo;32657;Nordrhein-Westfalen; Lippe
03151;Gifhorn;38518;Niedersachsen; Gifhorn
12065;Oranienburg;16515;Brandenburg; Oberhavel
03153;Goslar;38640;Niedersachsen; Goslar
05554;Borken;46325;Nordrhein-Westfalen; Borken
09463;Coburg;96450;Freistaat Bayern; Bayreuth
12060;Eberswalde;16225;Brandenburg; Barnim
03241;Wunstorf;31515;Niedersachsen;Hannover
09764;Memmingen;87700;Freistaat Bayern; Kempten
05370;Heinsberg;52525;Nordrhein-Westfalen; Heinsberg
05382;Königswinter;53639;Nordrhein-Westfalen; Rhein-Sieg-Kreis
07317;Pirmasens;66953;Rheinland-Pfalz; Neustadt an der Weinstraße,St.
14625;Bautzen;02625;Freistaat Sachsen; Bautzen
03452;Aurich;26603;Niedersachsen; Aurich
09561;Ansbach;91522;Freistaat Bayern; Mittelfranken
08116;Nürtingen;72622;Baden-Württemberg; Esslingen
06438;Dreieich;63303;Hessen; Offenbach
05758;Löhne;32584;Nordrhein-Westfalen; Herford
03241;Laatzen;30880;Niedersachsen;Hannover
12063;Falkensee;14612;Brandenburg; Havelland
08116;Kirchheim unter Teck;73230;Baden-Württemberg; Esslingen
10041;Völklingen;66333;Saarland; Regionalverband Saarbrücken
05382;Siegburg;53721;Nordrhein-Westfalen; Rhein-Sieg-Kreis
06431;Bensheim;64625;Hessen; Bergstraße
03359;Buxtehude;21614;Niedersachsen; Stade
16054;Suhl;98527;Freistaat Thüringen; Jena
05158;Mettmann;40822;Nordrhein-Westfalen; Mettmann
08119;Schorndorf;73614;Baden-Württemberg; Rems-Murr-Kreis
05370;Hückelhoven;41836;Nordrhein-Westfalen; Heinsberg
14628;Freital;01705;Freistaat Sachsen; Sächs. Schweiz-Osterzgebirge
09373;Neumarkt;92318;Freistaat Bayern; Neumarkt
14628;Pirna;01796;Freistaat Sachsen; Sächs. Schweiz-Osterzgebirge
05554;Ahaus;48683;Nordrhein-Westfalen; Borken
09565;Schwabach;91126;Freistaat Bayern; Nürnberg
05170;Kamp-Lintfort;47475;Nordrhein-Westfalen; Wesel
08215;Ettlingen;76275;Baden-Württemberg; Karlsruhe
03353;Buchholz in der Nordheide;21244;Niedersachsen; Harburg
06436;Hofheim am Taunus;65719;Hessen; Main-Taunus-Kreis
14625;Hoyerswerda;02977;Freistaat Sachsen; Bautzen
05570;Warendorf;48231;Nordrhein-Westfalen; Warendorf
15085;Halberstadt;38820;Sachsen-Anhalt; Harz
05562;Haltern am See;45721;Nordrhein-Westfalen; Recklinghausen
06435;Maintal;63477;Hessen; Main-Kinzig-Kreis
05170;Voerde;46562;Nordrhein-Westfalen; Wesel
05334;Würselen;52146;Nordrhein-Westfalen; Leverkusen
05962;Hemer;58675;Nordrhein-Westfalen; Märkischer Kreis
05382;Niederkassel;53859;Nordrhein-Westfalen; Rhein-Sieg-Kreis
10045;St. Ingbert;66386;Saarland; Saarpfalz-Kreis
10044;Saarlouis;66740;Saarland; Saarlouis
09179;Germering;82110;Freistaat Bayern; Fürstenfeldbruck
08116;Leinfelden-Echterdingen;70771;Baden-Württemberg; Esslingen
08127;Schwäbisch Hall;74523;Baden-Württemberg; Schwäbisch Hall
05570;Beckum;59269;Nordrhein-Westfalen; Warendorf
05558;Coesfeld;48653;Nordrhein-Westfalen; Coesfeld
12060;Bernau bei Berlin;16321;Brandenburg; Barnim
16064;Mühlhausen;99974;Freistaat Thüringen; Unstrut-Hainich-Kreis
05166;Kempen;47906;Nordrhein-Westfalen; Viersen
08116;Ostfildern;73760;Baden-Württemberg; Esslingen
05566;Greven;48268;Nordrhein-Westfalen; Steinfurt
05562;Datteln;45711;Nordrhein-Westfalen; Recklinghausen
06438;Neu-Isenburg;63263;Hessen; Offenbach
05378;Wermelskirchen;42929;Nordrhein-Westfalen; Rheinisch-Bergischer Kreis
05566;Emsdetten;48282;Nordrhein-Westfalen; Steinfurt
08226;Sinsheim;74889;Baden-Württemberg; Rhein-Neckar-Kreis
15090;Stendal;39576;Sachsen-Anhalt; Stendal
16077;Altenburg;04600;Freistaat Thüringen; Altenburger Land
06438;Langen;63225;Hessen; Offenbach
08119;Backnang;71522;Baden-Württemberg; Rems-Murr-Kreis
05770;Porta Westfalica;32457;Nordrhein-Westfalen; Minden-Lübbecke
05766;Lage;32791;Nordrhein-Westfalen; Lippe
05362;Wesseling;50389;Nordrhein-Westfalen; Rhein-Erft-Kreis
03454;Papenburg;26871;Niedersachsen; Emsland
03454;Meppen;49716;Niedersachsen; Emsland
08317;Kehl;77694;Baden-Württemberg; Ortenaukreis
08327;Tuttlingen;78532;Baden-Württemberg; Tuttlingen
12073;Schwedt/Oder;16303;Brandenburg; Uckermark
09177;Erding;85435;Freistaat Bayern; Erding
14627;Riesa;01589;Freistaat Sachsen; Meißen
15088;Merseburg;06217;Sachsen-Anhalt; Saalekreis
15089;Schönebeck;39218;Sachsen-Anhalt; Salzlandkreis
03360;Uelzen;29525;Niedersachsen; Uelzen
03457;Leer;26789;Niedersachsen; Leer
07320;Zweibrücken;66482;Rheinland-Pfalz; Worms
05566;Steinfurt;48565;Nordrhein-Westfalen; Steinfurt
09179;Fürstenfeldbruck;82256;Freistaat Bayern; Fürstenfeldbruck
05154;Goch;47574;Nordrhein-Westfalen; Kleve
03353;Winsen;21423;Niedersachsen; Harburg
08417;Balingen;72336;Baden-Württemberg; Zollernalbkreis
06433;Mörfelden-Walldorf;64546;Hessen; Groß-Gerau
15085;Wernigerode;38855;Sachsen-Anhalt; Harz
05154;Geldern;47608;Nordrhein-Westfalen; Kleve
12061;Königs Wusterhausen;15711;Brandenburg; Dahme-Spreewald
03241;Barsinghausen;30890;Niedersachsen;Hannover
14627;Radebeul;01445;Freistaat Sachsen; Meißen
06533;Limburg a.d. Lahn;65549;Hessen; Limburg-Weilburg
06438;Dietzenbach;63128;Hessen; Offenbach
05358;Jülich;52428;Nordrhein-Westfalen; Düren
05162;Korschenbroich;41352;Nordrhein-Westfalen; Rhein-Kreis Neuss
08127;Crailsheim;74564;Baden-Württemberg; Schwäbisch Hall
03241;Seelze;30926;Niedersachsen;Hannover
06431;Viernheim;68519;Hessen; Bergstraße
01061;Itzehoe;25524;Schleswig-Holstein; Steinburg
12067;Fürstenwalde/Spree;15517;Brandenburg; Oder-Spree
03453;Cloppenburg;49661;Niedersachsen; Cloppenburg
08426;Biberach an der Riß;88400;Baden-Württemberg; Biberach
01056;Wedel;22880;Schleswig-Holstein; Pinneberg
08336;Rheinfelden;79618;Baden-Württemberg; Lörrach
03256;Nienburg;31582;Niedersachsen; Nienburg
03459;Georgsmarienhütte;49124;Niedersachsen; Osnabrück
05974;Werl;59457;Nordrhein-Westfalen; Soest
12067;Eisenhüttenstadt;15890;Brandenburg; Oder-Spree
05954;Gevelsberg;58285;Nordrhein-Westfalen; Ennepe-Ruhr-Kreis
05170;Rheinberg;47495;Nordrhein-Westfalen; Wesel
06440;Bad Vilbel;61118;Hessen; Wetteraukreis
12068;Neuruppin;16816;Brandenburg; Ostprignitz-Ruppin
09271;Deggendorf;94469;Freistaat Bayern; Deggendorf
05762;Höxter;37671;Nordrhein-Westfalen; Höxter
08115;Herrenberg;71083;Baden-Württemberg; Böblingen
03460;Vechta;49377;Niedersachsen; Vechta
05958;Meschede;59872;Nordrhein-Westfalen; Hochsauerlandkreis
06431;Lampertheim;68623;Hessen; Bergstraße
05382;Lohmar;53797;Nordrhein-Westfalen; Rhein-Sieg-Kreis
08118;Kornwestheim;70806;Baden-Württemberg; Ludwigsburg
06440;Bad Nauheim;61231;Hessen; Wetteraukreis
05970;Kreuztal;57223;Nordrhein-Westfalen; Siegen-Wittgenstein
03459;Bramsche;49565;Niedersachsen; Osnabrück
01062;Ahrensburg;22926;Schleswig-Holstein; Stormarn
05954;Ennepetal;58256;Nordrhein-Westfalen; Ennepe-Ruhr-Kreis
07134;Idar-Oberstein;55743;Rheinland-Pfalz; Birkenfeld
08335;Radolfzell;78315;Baden-Württemberg; Konstanz
10042;Merzig;66663;Saarland; Merzig-Wadern
05562;Oer-Erkenschwick;45739;Nordrhein-Westfalen; Recklinghausen
09474;Forchheim;91301;Freistaat Bayern; Forchheim
03356;Osterholz-Scharmbeck;27711;Niedersachsen; Osterholz
15089;Bernburg;06406;Sachsen-Anhalt; Salzlandkreis
13053;Güstrow;18273;Mecklenburg-Vorpommern; Güstrow
15087;Sangerhausen;06526;Sachsen-Anhalt; Mansfeld-Südharz
05774;Delbrück;33129;Nordrhein-Westfalen; Paderborn
05166;Tönisvorst;47918;Nordrhein-Westfalen; Viersen
03361;Achim;28832;Niedersachsen; Verden
05978;Werne;59368;Nordrhein-Westfalen; Unna
06632;Bad Hersfeld;36251;Hessen; Hersfeld-Rotenburg
03241;Burgdorf;31303;Niedersachsen;Hannover
08336;Weil am Rhein;79576;Baden-Württemberg; Lörrach
05562;Waltrop;45731;Nordrhein-Westfalen; Recklinghausen
15084;Zeitz;06712;Sachsen-Anhalt; Burgenlandkreis
03155;Northeim;37154;Niedersachsen; Northeim
05154;Emmerich am Rhein;46446;Nordrhein-Westfalen; Kleve
07137;Andernach;56626;Rheinland-Pfalz; Mayen-Koblenz
08216;Bühl;77815;Baden-Württemberg; Rastatt
05570;Oelde;59302;Nordrhein-Westfalen; Warendorf
03241;Springe;31832;Niedersachsen;Hannover
15089;Staßfurt;39418;Sachsen-Anhalt; Salzlandkreis
01053;Geesthacht;21502;Schleswig-Holstein; Herzogtum Lauenburg
05158;Haan;42781;Nordrhein-Westfalen; Mettmann
05370;Wegberg;41844;Nordrhein-Westfalen; Heinsberg
08216;Gaggenau;76571;Baden-Württemberg; Rastatt
09771;Friedberg;86316;Freistaat Bayern; Aichach-Friedberg
05954;Schwelm;58332;Nordrhein-Westfalen; Ennepe-Ruhr-Kreis
15089;Aschersleben;06449;Sachsen-Anhalt; Salzlandkreis
06439;Taunusstein;65232;Hessen; Rheingau-Taunus-Kreis
05958;Sundern;59846;Nordrhein-Westfalen; Hochsauerlandkreis
08118;Vaihingen an der Enz;71665;Baden-Württemberg; Ludwigsburg
05754;Rietberg;33397;Nordrhein-Westfalen; Gütersloh
14626;Zittau;02763;Freistaat Sachsen; Görlitz
15084;Weißenfels;06667;Sachsen-Anhalt; Burgenlandkreis
15082;Köthen;06366;Sachsen-Anhalt; Anhalt-Bitterfeld
08215;Bretten;75015;Baden-Württemberg; Karlsruhe
15084;Naumburg;06618;Sachsen-Anhalt; Burgenlandkreis
05154;Kevelaer;47623;Nordrhein-Westfalen; Kleve
05954;Wetter;58300;Nordrhein-Westfalen; Ennepe-Ruhr-Kreis
01058;Rendsburg;24768;Schleswig-Holstein; Rendsburg-Eckernförde
09185;Neuburg a.d.Donau;86633;Freistaat Bayern; Neuburg-Schrobenhausen
05370;Geilenkirchen;52511;Nordrhein-Westfalen; Heinsberg
05334;Baesweiler;52499;Nordrhein-Westfalen; Leverkusen
06440;Friedberg;61169;Hessen; Wetteraukreis
09181;Landsberg am Lech;86899;Freistaat Bayern; Landsberg am Lech
09376;Schwandorf;92421;Freistaat Bayern; Schwandorf
05170;Hamminkeln;46499;Nordrhein-Westfalen; Wesel
14627;Meißen;01662;Freistaat Sachsen; Meißen
06633;Baunatal;34225;Hessen; Kassel
05170;Neukirchen-Vluyn;47506;Nordrhein-Westfalen; Wesel
06436;Kelkheim;65779;Hessen; Main-Taunus-Kreis
08119;Winnenden;71364;Baden-Württemberg; Rems-Murr-Kreis
05378;Leichlingen;42799;Nordrhein-Westfalen; Rheinisch-Bergischer Kreis
07131;Bad Neuenahr-Ahrweiler;53474;Rheinland-Pfalz; Ahrweiler
05974;Warstein;59581;Nordrhein-Westfalen; Soest
09772;Königsbrunn;86343;Freistaat Bayern; Augsburg
08436;Wangen;88239;Baden-Württemberg; Ravensburg
05966;Lennestadt;57368;Nordrhein-Westfalen; Olpe
05366;Mechernich;53894;Nordrhein-Westfalen; Euskirchen
08226;Leimen;69181;Baden-Württemberg; Rhein-Neckar-Kreis
05978;Selm;59379;Nordrhein-Westfalen; Unna
