Schlüsselnummer;Stadt;PLZ;Bundesland;Landkreis
08226;Neckarbischofsheim;74924;Baden-Württemberg; Rhein-Neckar-Kreis
14523;Bad Elster;08645;Freistaat Sachsen; Vogtlandkreis
06439;Lorch;65391;Hessen; Rheingau-Taunus-Kreis
06633;Bad Karlshafen;34385;Hessen; Kassel
13056;Penzlin;17217;Mecklenburg-Vorpommern; Müritz
14626;Bernstadt a. d. Eigen;02748;Freistaat Sachsen; Görlitz
15089;Güsten;39439;Sachsen-Anhalt; Salzlandkreis
16077;Gößnitz;04639;Freistaat Thüringen; Altenburger Land
13055;Woldegk;17348;Mecklenburg-Vorpommern; Mecklenburg-Strelitz
16075;Saalburg-Ebersdorf;07929;Freistaat Thüringen; Saale-Orla-Kreis
06431;Neckarsteinach;69239;Hessen; Bergstraße
16065;Greußen;99718;Freistaat Thüringen; Kyffhäuserkreis
07143;Rennerod;56477;Rheinland-Pfalz; Westerwaldkreis
15089;Egeln;39435;Sachsen-Anhalt; Salzlandkreis
16072;Lauscha;98724;Freistaat Thüringen; Sonneberg
16075;Triptis;07819;Freistaat Thüringen; Saale-Orla-Kreis
08128;Grünsfeld;97947;Baden-Württemberg; Main-Tauber-Kreis
07332;Deidesheim;67146;Rheinland-Pfalz; Bad Dürkheim
16076;Bad Köstritz;07586;Freistaat Thüringen; Greiz
03256;Hoya;27318;Niedersachsen; Nienburg
15087;Kelbra;06537;Sachsen-Anhalt; Mansfeld-Südharz
15085;Gernrode;06507;Sachsen-Anhalt; Harz
09674;Königsberg;97486;Freistaat Bayern; Haßberge
15085;Osterwieck;38835;Sachsen-Anhalt; Harz
07140;Kirchberg;55481;Rheinland-Pfalz; Rhein-Hunsrück-Kreis
14626;Neusalza-Spremberg;02742;Freistaat Sachsen; Görlitz
16063;Vacha;36404;Freistaat Thüringen; Wartburgkreis
14523;Pausa;07952;Freistaat Sachsen; Vogtlandkreis
09472;Goldkronach;95497;Freistaat Bayern; Bayreuth
09577;Ellingen;91792;Freistaat Bayern; Weißenburg-Gunzenhausen
15082;Raguhn;06779;Sachsen-Anhalt; Anhalt-Bitterfeld
12071;Döbern;03159;Brandenburg; Spree-Neiße
16076;Berga;07980;Freistaat Thüringen; Greiz
12068;Neustadt;16845;Brandenburg; Ostprignitz-Ruppin
12069;Brück;14822;Brandenburg; Potsdam-Mittelmark
09675;Marktbreit;97340;Freistaat Bayern; Kitzingen
06431;Hirschhorn;69434;Hessen; Bergstraße
09476;Ludwigsstadt;96337;Freistaat Bayern; Kronach
16066;Wasungen;98634;Freistaat Thüringen; Schmalkalden-Meiningen
12073;Lychen;17279;Brandenburg; Uckermark
14628;Hohnstein;01848;Freistaat Sachsen; Sächs. Schweiz-Osterzgebirge
09479;Kirchenlamitz;95158;Freistaat Bayern; Wunsiedel
14730;Schildau;04889;Freistaat Sachsen; Nordsachsen
15082;Jeßnitz;06800;Sachsen-Anhalt; Anhalt-Bitterfeld
16071;Kranichfeld;99448;Freistaat Thüringen; Weimarer Land
16070;Langewiesen;98704;Freistaat Thüringen; Ilm-Kreis
